status_id,created_at,screen_name,text
7.29507E+17,09/05/2016 03:03,lopezobrador_,"Proceso habla de vilezas de EPN-Calderón en contra nuestra. Ante eso, la frase de Juárez: el triunfo de la reacción es moralmente imposible."
7.29855E+17,10/05/2016 02:06,lopezobrador_,"MORENA llegó como bendición justo cuando la mafia del poder terminó de corromper a dirigentes, gobernantes del PRD y líderes de ""izquierda"""
7.30005E+17,10/05/2016 12:00,lopezobrador_,"Muchas felicidades a las madres, todas, las de antes, de ahora y siempre."
7.3062E+17,12/05/2016 04:46,lopezobrador_,"En Chihuahua, Javier Félix Muñoz, candidato a gobernador, no es cómplice, hipócrita o ladrón como los del PRI, PAN o el ""independiente"""
7.30954E+17,13/05/2016 02:54,lopezobrador_,"Están desatados priístas, panistas, perredistas, etc. comprando votos con migajas, valiéndose de la pobreza de la gente. Canallas, corruptos"
7.31201E+17,13/05/2016 19:13,lopezobrador_,"No sé a ustedes, pero a mí lo que más me molesta de los panistas es su hipocresía. Vean el análisis de Twitter https://t.co/UvbPxCaAyf"
7.31687E+17,15/05/2016 03:27,lopezobrador_,"Luego de la explosión en Pajaritos, como buitres salinistas, el director de PEMEX y Coldwell de Energía están ofreciendo las refinerías"
7.32033E+17,16/05/2016 02:20,lopezobrador_,Hoy 15 de mayo nuestro sincero respaldo al magisterio nacional ante la embestida para privatizar la educación pública. No están solos.
7.32404E+17,17/05/2016 02:56,lopezobrador_,"El periódico Financial Times ningunea a EPN y dice que fracasaron las ""reformas"" cuando ellos fueron promotores de esa política de pillaje."
7.32994E+17,18/05/2016 17:57,lopezobrador_,"Sandra Ávila Beltrán, conocida como La Reina del Pacífico, declaró que un presidente recibió un soborno de 100 millones de dólares. ¿Quién?"
7.33116E+17,19/05/2016 02:04,lopezobrador_,Conoce Iniciativa de ley presentada por legisladores de MORENA para juzgar por corrupción a presidentes hoy impunes https://t.co/NbGAg5vaWa
7.33476E+17,20/05/2016 01:55,lopezobrador_,"Se sabe de los peñabots, pero se descubrió que es más grande el ejército de robots de Calderón a favor de su esposa y en contra nuestra."
7.33477E+17,20/05/2016 01:59,lopezobrador_,"¿Cómo llamarle a los ""bots"" de Calderón? ¿PANBOTS, Calderonbots, corruptosbots, hipócritasbots, panuchosbots, mafiabots? Hagan propuestas."
7.33845E+17,21/05/2016 02:20,lopezobrador_,"Presidente Obama: con respeto, detenga compra del Boeing 787-8 sustituto del AF-1. En 2018 venderemos avión de EPN del mismo modelo. Véalo."
7.346E+17,23/05/2016 04:19,lopezobrador_,Salió ileso y triunfó Cuitláhuac en el debate en Veracruz. Tiene lo que le falta a los candidatos del PRIAN y a otros paleros: honestidad.
7.35137E+17,24/05/2016 15:55,lopezobrador_,"En la mafia en el poder hay niveles. Mancera es de los intermedios pero encabeza la pandilla del PRD que reparte tinacos, dinero y amedrenta"
7.353E+17,25/05/2016 02:43,lopezobrador_,"Nuestro candidato a gobernador en Hidalgo, Salvador Torres Cisneros, firmó un acuerdo con maestros del estado y fuimos testigos solidarios"
7.35644E+17,26/05/2016 01:29,lopezobrador_,"En cualquier país de la tierra donde hay conflicto siempre se procura el diálogo, pero EPN, Chong y Nuño se niegan a escuchar a los maestros"
7.35915E+17,26/05/2016 19:27,lopezobrador_,"La encuesta de Reforma sobre Oaxaca está ""cuchareada"". Salomón Jara de MORENA ya rebasó a Murat y el candidato de Gabino y Diódoro se rezagó"
7.36255E+17,27/05/2016 17:57,lopezobrador_,Chong opera con Moreira en Zacatecas y Manlio Fabio con Fidel Herrera y Murat en Veracruz y Oaxaca. Vencerá Morena a la mapachada inmunda
7.36307E+17,27/05/2016 21:25,lopezobrador_,Cuitláhuac lleva 10 puntos arriba pero escuchen la desesperación de rateros del PRI Fidel-Duarte-Yunes. No manchen https://t.co/tCwHAntepl
7.36746E+17,29/05/2016 02:29,lopezobrador_,"Como dice el periódico ""independiente"", Reforma: ""Acarrea Morena a cientos a mitin"". Vean la plaza de las 3 culturas https://t.co/93BUdbK5wN"
7.36935E+17,29/05/2016 14:57,lopezobrador_,"En Zacatecas, Calderón acusó a Monreal, sin pruebas, de enriquecimiento, cuando él se robó la presidencia y encarna la corrupción. Hipócrita"
7.37077E+17,30/05/2016 00:23,lopezobrador_,"Estamos en la marcha, en tiempo real, ahí les va la foto en el malecón de Veracruz con Cuitláhuac García. https://t.co/DIzQFahP5I"
7.37396E+17,30/05/2016 21:33,lopezobrador_,Vean al hipócrita de Calderón contra el corrupto de Duarte y en apoyo a su cómplice Yunes Linares. Una piltrafa moral hablando de honestidad
7.37776E+17,31/05/2016 22:40,lopezobrador_,La contaminación en la CDMX puede ser por la mala calidad de gasolinas importadas. Negocio y dinero sobre la salud del pueblo. Indaguemos.
7.38032E+17,01/06/2016 15:39,lopezobrador_,Celebro que la CNTE se deslinde y repruebe actos de vejación a profesores. Los responsables pueden ser agentes de Otto o Chong. Perversos.
